호선,호선명,GINR,DOCK,BATCH,년BATCH,선종,선형,연번,선주,선급1,선급2,선급3,국적,시리즈 대표호선,시리즈번호,계약일자,W/C일자,K/L일자,F/T일자,L/C일자,D/L일자,도면완료일,제작블럭수,탑재블럭수,W/C실적일자,K/L실적일자,L/C실적일자,D/L실적일자,선주도면승인기간,선급도면승인기간,계약인도일,대일정계획시 주요공정체크,탑재네트워크확정REVNO,탑재네트워크확정일자,일정재생성가부,공수재생성가부,중일정공수조정가부,D/L여부,설계대표호선,설계 시리즈 번호,건조 방식(T:Tandem S:straight),"FWD일정 생성시 신종선 연속선에 따라 POR발행계획일이 MP 생성일 기준 2주, 3주(2:2주 3:3주)",mp생성일(호선의 mp등록일 중 가장 빠른 날짜을 넣어줌[2005/12/20추가됨]),,,,출항 예정일,Load Out 일자 (육상건조),,"호선 건조구분(H: HMD, V: HVS, 1:신조, 2:개조, 3:수리, 4:기술수출)","계약정보(Y:계약, N:미계약,C:취소,D:보류,O:옵션)",E/R ACCESS HOLE FT전 위치,E/R ACCESS HOLE FT후 위치,조기K/L,조기 K/L BLOCK,"HVS자재대수수료(0:1.07, 1:1)",FT전 도크내호선위치(E/W)-STRAIGHT는 여기만 값 유지,FT후 도크내호선위치(E/W),가상W/C
035106,46K PRODUCT CARRIER,N,2,16,05-3,CT   ,46K,1 ,NCC,DNV       ,,,PANAMA,035106,1 ,2003-07-13,2005-02-22,2005-05-23,,2005-08-06,2005-10-11,,0,0,2005-02-22,2005-05-23,2005-07-29,2005-10-12,0,0,2005-11-15,Y,R8,2005-04-22,Y,Y,Y,Y,035106,01,S,2,,290,1.75,20,2005-10-13,,N,H1,Y,,,,,N,,,
035206,46K PRODUCT CARRIER,N,1,3,05-2,CT   ,46K,2 ,NCC,DNV       ,,,PANAMA,035106,2 ,2003-07-13,2005-03-10,2005-06-13,,2005-08-27,2005-10-31,,0,0,2005-03-10,2005-06-13,2005-08-26,2005-10-25,0,0,2005-12-14,Y,R8,2005-05-03,Y,Y,Y,Y,035106,02,S,2,,290,1.75,20,2005-10-25,,N,H1,Y,,,,,N,,,
035306,35K(40K) PRODUCT/CHEMICAL TANKER,N,3,39,05-7,CT   ,35K,1 ,DALESIO,RINA      ,,,ITALY,035306,1 ,2003-05-23,2005-04-25,2005-07-19,2005-09-03,2005-10-23,2006-01-04,,0,0,2005-04-25,2005-07-18,2005-10-21,2006-01-04,0,0,2006-01-31,Y,R7,2005-05-31,Y,Y,Y,Y,035306,01,T,2,2005-02-18,290,1.75,20,2006-01-06,,N,H1,Y,,,,,N,,,
035406,35K(40K) PRODUCT/CHEMICAL TANKER,N,1,7,06-3,CT   ,35K,2 ,DALESIO,RINA      ,,,ITALY,035306,2 ,2003-09-04,2006-01-05,2006-04-13,,2006-06-22,2006-08-17,,0,0,2006-01-05,2006-04-12,2006-06-21,2006-08-16,0,0,2006-08-31,Y,R5,2006-01-27,Y,Y,Y,Y,035306,02,S,2,2005-04-21,290,1.7,20,2006-08-18,,N,H1,Y,,,,,N,,,
035506,37K CHEMICAL TANKER,N,3,35,05-3,CT   ,37K,3 ,ANDROMEDA,LR        ,,,N.I.S,032706,3 ,2003-04-17,2004-10-25,2005-01-17,2005-03-05,2005-04-16,2005-06-16,,0,0,2004-10-25,2005-01-17,2005-04-16,2005-06-16,0,0,2005-06-30,Y,R9,2004-11-25,Y,Y,Y,Y,032706,,T,2,,290,1.75,20,2005-06-16,,N,H1,Y,,,,,N,,,
035606,46K PRODUCT CARRIER,N,1,5,06-1,CT   ,46K,3 ,NCC,DNV       ,,,PANAMA,035106,3 ,2003-10-15,2005-08-12,2005-11-18,,2006-02-01,2006-03-28,,0,0,2005-08-12,2005-11-17,2006-02-01,2006-04-04,0,0,2006-04-10,Y,RB,2005-08-31,Y,Y,Y,Y,035106,03,S,2,2005-05-19,290,1.75,20,2006-04-05,,N,H1,Y,,,,,N,,,
035706,46K PRODUCT CARRIER,N,1,6,06-2,CT   ,46K,4 ,NCC,DNV       ,,,PANAMA,035106,4 ,2003-10-15,2005-10-27,2006-02-03,,2006-04-11,2006-06-12,,0,0,2005-10-27,2006-02-03,2006-04-10,2006-06-08,0,0,2006-07-07,Y,RC,2005-11-28,Y,Y,Y,Y,035106,04,S,2,2005-04-21,290,1.75,20,2006-06-08,,N,H1,Y,,,,,N,,,
035806,INTERORIENT 37K PRODUCT/CHEMICAL TANKER,N,2,24,06-6,CT   ,37K,9 ,INTERORIENT,DNV       ,,,CYPRUS,034906,9 ,2004-01-16,2006-03-02,2006-06-07,2006-07-18,2006-09-04,2006-10-24,,0,0,2006-03-02,2006-06-07,2006-09-04,2006-10-24,0,0,2006-11-30,Y,R5,2006-05-03,Y,Y,Y,Y,034906,03,T,2,2005-05-03,290,1.7,20,2006-10-25,,N,H1,Y,,,,,N,,,
035906,INTERORIENT 37K PRODUCT/CHEMICAL TANKER,N,3,44,06-5,CT   ,37K,10,INTERORIENT,DNV       ,,,CYPRUS,034906,10,2004-01-16,2006-05-03,2006-08-11,,2006-10-25,2006-12-14,,0,0,2006-05-03,2006-08-11,2006-10-25,2006-12-12,0,0,2007-01-31,Y,R6,2006-07-10,Y,Y,Y,Y,034906,04,S,2,2005-04-21,290,1.7,20,2006-12-13,,N,H1,Y,,,,,,,,
036006,2824TEU CONTAINER,N,4,25,06-2,CONT ,2824TEU,3 ,AHRENKIEL,GL        ,,,LIBERIA,034106,3 ,2003-07-17,2005-11-18,2006-02-27,,2006-05-06,2006-07-05,,0,0,2005-11-18,2006-02-24,2006-05-01,2006-07-05,0,0,2006-07-30,Y,RC,2006-01-27,Y,Y,Y,Y,034106,06,S,2,2005-04-21,290,1.75,20,2006-07-05,,N,H1,Y,,,,,N,,,
036106,2824TEU CONTAINER,N,2,21,06-3,CONT ,2824TEU,4 ,AHRENKIEL,GL        ,,,LIBERIA,034106,4 ,2003-08-04,2005-10-18,2006-01-20,2006-03-07,2006-04-19,2006-06-09,,0,0,2005-10-18,2006-01-20,2006-04-18,2006-06-09,0,0,2006-08-30,Y,RA,2005-11-25,Y,Y,Y,Y,034106,05,T,2,2005-04-21,290,1.75,20,2006-06-09,,N,H1,Y,,,,,N,,,
036206,2824TEU CONTAINER,N,4,26,06-3,CONT ,2824TEU,5 ,AHRENKIEL,GL        ,,,LIBERIA,034106,5 ,2003-07-17,2006-01-26,2006-05-04,,2006-07-13,2006-09-02,,0,0,2006-01-26,2006-05-03,2006-07-12,2006-09-01,0,0,2006-09-30,Y,RA,2006-04-19,Y,Y,Y,Y,034106,09,S,2,2005-04-21,290,1.7,20,2006-09-01,,N,H1,Y,,,,,N,,,
036306,2824TEU CONTAINER,N,2,23,06-5,CONT ,2824TEU,6 ,AHRENKIEL,GL        ,,,LIBERIA,034106,6 ,2003-08-04,2006-01-13,2006-04-21,2006-06-05,2006-07-18,2006-09-08,,0,0,2006-01-13,2006-04-21,2006-07-18,2006-09-08,0,0,2006-11-30,Y,R9,2006-04-19,Y,Y,Y,Y,034106,07,T,2,2005-04-21,290,1.7,20,,,N,H1,Y,,,,,N,,,
036406,INTERORIENT 37K PRODUCT/CHEMICAL TANKER,N,2,16,05-3,CT   ,37K,3 ,INTERORIENT,DNV       ,,,CYPRUS,031706,3 ,2003-05-28,2005-02-22,2005-05-23,,2005-08-06,2005-10-06,,0,0,2005-02-22,2005-05-23,2005-07-29,2005-09-26,0,0,2005-11-18,Y,R7,2005-04-22,Y,Y,Y,Y,031706,01,S,2,,290,1.75,20,2005-09-28,,N,H1,Y,,,,,N,,,
036506,INTERORIENT 37K PRODUCT/CHEMICAL TANKER,N,2,17,05-4,CT   ,37K,5 ,INTERORIENT,DNV       ,,,CYPRUS,031706,5 ,2003-05-28,2005-05-06,2005-08-08,,2005-10-22,2006-01-06,,0,0,2005-05-06,2005-08-08,2005-10-20,2006-01-09,0,0,2006-01-12,Y,R6,2005-05-03,Y,Y,Y,Y,031706,02,S,2,2005-03-07,290,1.75,20,2006-01-09,,N,H1,Y,,,,,,,,
036606,INTERORIENT 37K PRODUCT/CHEMICAL TANKER,N,2,18,05-5,CT   ,37K,6 ,INTERORIENT,DNV       ,,,CYPRUS,031706,6 ,2003-06-12,2005-06-11,2005-09-05,2005-10-22,2005-12-03,2006-01-26,,0,0,2005-06-11,2005-09-05,2005-12-03,2006-02-03,0,0,2006-03-01,Y,RB,2005-07-26,Y,Y,Y,Y,031706,03,T,2,2005-03-17,290,1.75,20,2006-02-04,,N,H1,Y,,,,,N,,,
036706,37K PRODUCT/CHEMICAL TANKER,N,2,14,05-1,CT   ,37K,6 ,OMI,DNV       ,,,MARSHALL ISLAND,025406,6 ,2003-09-04,2004-10-05,2004-12-28,,2005-03-16,2005-05-13,,0,0,2004-10-05,2004-12-28,2005-03-12,2005-05-12,0,0,2005-06-30,Y,R7,2005-04-28,Y,Y,Y,Y,025406,06,S,2,,290,1.75,20,2005-05-12,,N,H1,Y,,,,,N,,,
036806,37K PRODUCT/CHEMICAL TANKER,N,3,36,05-4,CT   ,37K,7 ,OMI,DNV       ,,,MARSHALL ISLAND,025406,7 ,2003-10-25,2004-11-27,2005-03-07,2005-04-16,2005-05-31,2005-08-08,,0,0,2004-11-27,2005-03-07,2005-05-31,2005-07-15,0,0,2005-08-30,Y,R6,2004-12-13,Y,Y,Y,Y,025406,07,T,2,,290,1.75,20,2005-07-15,,N,H1,Y,,,,,N,,,
036906,2824TEU CONTAINER,N,4,18,04-5,CONT ,2824TEU,1 ,E.R.SCHIFFAHRT,GL        ,,,LIBERIA,036906,1 ,2003-12-10,2004-06-25,2004-09-18,,2004-11-24,2005-02-03,,0,0,2004-06-25,2004-09-13,2004-11-24,2005-01-28,0,0,2005-03-30,Y,R4,2004-11-03,Y,Y,Y,Y,036906,01,S,2,,290,1.75,20,2005-01-28,,N,H1,Y,,,,,N,,,
037006,2824TEU CONTAINER,N,3,36,05-4,CONT ,2824TEU,3 ,E.R.SCHIFFAHRT,GL        ,,,LIBERIA,036906,3 ,2003-12-10,2004-11-27,2005-03-07,2005-04-16,2005-05-31,2005-08-11,,0,0,2004-11-27,2005-03-07,2005-05-31,2005-07-22,0,0,2005-08-31,Y,R5,2005-03-07,Y,Y,Y,Y,036906,03,T,2,,290,1.75,20,2005-07-22,,N,H1,Y,,,,,N,,,
037406,37K PRODUCT/CHEMICAL CARRIER,N,2,13,04-5,CT   ,37K,1 ,VROON,LR        ,,,MARSHALL ISLAND,037406,1 ,2003-07-18,2004-07-22,2004-10-25,,2004-12-30,2005-03-09,,0,0,2004-07-22,2004-10-25,2004-12-30,2005-03-09,0,0,2005-04-20,Y,R6,2004-10-18,Y,Y,Y,Y,037406,01,S,2,,290,1.75,20,2005-03-09,,N,H1,Y,,,,,N,,,
037506,37K PRODUCT/CHEMICAL CARRIER,N,2,15,05-2,CT   ,37K,2 ,VROON,LR        ,,,MARSHALL ISLAND,037406,2 ,2003-07-18,2004-12-09,2005-03-18,,2005-05-21,2005-07-29,,0,0,2004-12-09,2005-03-14,2005-05-21,2005-07-20,0,0,2005-09-30,Y,R9,2004-12-24,Y,Y,Y,Y,037406,02,S,2,,290,1.75,20,2005-07-20,,N,H1,Y,,,,,N,,,
037606,37K PRODUCT/CHEMICAL CARRIER,N,3,38,05-6,CT   ,37K,3 ,VROON,LR        ,,,MARSHALL ISLAND,037406,3 ,2003-07-18,2005-03-04,2005-06-02,2005-07-17,2005-09-03,2005-11-01,,0,0,2005-03-04,2005-06-03,2005-09-02,2005-11-04,0,0,2005-12-30,Y,R6,2005-05-03,Y,Y,Y,Y,037406,03,T,2,,290,1.75,20,2005-11-04,,N,H1,Y,,,,,N,,,
037706,37K PRODUCT/CHEMICAL CARRIER,N,1,3,05-2,CT   ,37K,4 ,VROON,LR        ,,,MARSHALL ISLAND,037406,4 ,2003-07-18,2005-03-10,2005-06-13,,2005-08-27,2005-10-26,,0,0,2005-03-10,2005-06-13,2005-08-26,2005-10-20,0,0,2006-02-20,Y,R7,2005-05-03,Y,Y,Y,Y,037406,04,S,2,,290,1.75,20,2005-10-20,,N,H1,Y,,,,,N,,,
037806,37K CHEMICAL TANKER,N,2,11,04-3,CT   ,37K,6 ,GEDEN,DNV       ,,,LIBERIA,010506,11,2003-08-12,2004-02-21,2004-05-22,,2004-08-07,2004-10-05,,0,0,2004-02-21,2004-05-22,2004-08-07,2004-09-23,0,0,2004-11-03,Y,R4,2004-05-04,Y,Y,Y,Y,037806,,S,2,,290,1.75,20,2004-09-24,,N,H1,Y,,,,,N,,,
037906,37K CHEMICAL TANKER,N,2,12,04-4,CT   ,37K,6 ,GEDEN,DNV       ,,,LIBERIA,010506,12,2003-08-12,2004-05-10,2004-08-09,,2004-10-23,2004-12-15,,0,0,2004-05-10,2004-08-09,2004-10-23,2004-12-15,0,0,2005-01-31,Y,R5,2004-07-30,Y,Y,Y,Y,037806,12,S,2,,290,1.75,20,2004-12-16,,N,H1,Y,,,,,N,,,
038006,40K PRODUCT/CHEMICAL TANKER,N,2,19,06-1,CT   ,35K,9 ,COLUMBIA,DNV       ,,,MARSHALL ISLAND,013906,9 ,2003-07-31,2005-07-21,2005-10-24,2005-12-03,2006-01-18,2006-03-15,,0,0,2005-07-21,2005-10-24,2006-01-18,2006-03-17,0,0,2006-03-31,Y,R9,2005-07-28,Y,Y,Y,Y,025606,03,T,2,2005-05-19,290,1.75,20,2006-03-17,,N,H1,Y,,,,,N,,,
038106,40K PRODUCT/CHEMICAL TANKER,N,1,6,06-2,CT   ,35K,10,COLUMBIA,DNV       ,,,MARSHALL ISLAND,013906,10,2003-07-31,2005-10-27,2006-02-03,,2006-04-11,2006-06-08,,0,0,2005-10-27,2006-02-03,2006-04-10,2006-06-02,0,0,2006-06-30,Y,RD,2005-10-26,Y,Y,Y,Y,025606,04,S,2,2005-04-21,290,1.75,20,2006-06-03,,N,H1,Y,,,,,N,,,
038206,47K PRODUCT CARRIER,N,2,17,05-4,CT   ,47K,1 ,DAXIN,DNV       ,,,CYPRUS,038206,1 ,2003-09-17,2005-05-06,2005-08-08,,2005-10-22,2005-11-30,,0,0,2005-05-06,2005-08-08,2005-10-20,2005-12-02,0,0,2006-01-31,Y,,,Y,Y,Y,Y,038206,01,S,2,,290,1.75,20,2005-12-05,,N,H1,Y,,,,,,,,
038306,47K PRODUCT CARRIER,N,3,42,06-3,CT   ,47K,2 ,DAXIN,DNV       ,,,CYPRUS,038206,2 ,2003-09-17,2005-12-08,2006-03-18,,2006-05-25,2006-07-13,,0,0,2005-12-08,2006-03-17,2006-05-24,2006-07-14,0,0,2006-09-30,Y,R5,2005-12-28,Y,Y,Y,Y,038206,02,S,2,2005-04-21,290,1.75,20,2006-07-18,,N,H1,Y,,,,,N,,,
038406,46K PRODUCT CARRIER,N,3,42,06-3,CT   ,46K,5 ,NCC,DNV       ,,,PANAMA,035106,5 ,2003-12-16,2005-12-08,2006-03-18,,2006-05-25,2006-07-18,,0,0,2005-12-08,2006-03-17,2006-05-24,2006-07-18,0,0,2006-09-30,Y,R6,2005-12-28,Y,Y,Y,Y,035106,05,S,2,2005-04-21,290,1.75,20,2006-07-19,,N,H1,Y,,,,,,,,
038506,46K PRODUCT CARRIER,N,1,7,06-3,CT   ,46K,6 ,NCC,DNV       ,,,PANAMA,035106,6 ,2003-12-16,2006-01-05,2006-04-13,,2006-06-22,2006-08-24,,0,0,2006-01-05,2006-04-12,2006-06-21,2006-08-25,0,0,2006-12-31,Y,R5,2006-01-27,Y,Y,Y,Y,035106,06,S,2,2005-11-30,290,1.7,20,2006-08-26,,N,H1,Y,,,,,N,,,
038606,2824TEU CONTAINER,N,2,20,06-2,CONT ,2824TEU,3 ,TSAKOS,GL        ,,,PANAMA,040106,3 ,2003-09-19,2005-08-29,2005-12-05,2006-01-18,2006-03-07,2006-04-26,,0,0,2005-08-29,2005-12-05,2006-03-07,2006-04-17,0,0,2006-06-30,Y,RB,2005-09-27,Y,Y,Y,Y,040106,03,T,2,2005-07-27,290,1.75,20,2006-04-17,,N,H1,Y,,,,,N,,,
038706,2824TEU CONTAINER,N,2,22,06-4,CONT ,2824TEU,4 ,TSAKOS,GL        ,,,PANAMA,040106,4 ,2003-09-19,2005-11-29,2006-03-09,2006-04-19,2006-06-05,2006-07-19,,0,0,2005-11-29,2006-03-09,2006-06-05,2006-07-19,0,0,2006-09-30,Y,RD,2006-01-27,Y,Y,Y,Y,040106,04,T,2,2005-12-15,290,1.75,20,2006-07-19,,N,H1,Y,,,,,N,,,
038806,2824TEU CONTAINER,N,2,25,06-7,CONT ,2824TEU,5 ,TSAKOS,GL        ,,,PANAMA,040106,5 ,2003-10-27,2006-04-14,2006-07-20,2006-09-04,2006-10-20,2006-11-30,,0,0,2006-04-14,2006-07-20,2006-10-20,2006-11-30,0,0,2006-12-31,Y,R7,2006-05-26,Y,Y,Y,Y,040106,05,T,2,2005-03-07,290,1.7,20,2006-11-30,,N,H1,Y,,,,,N,,,
038906,2824TEU CONTAINER,N,2,27,07-1,CONT ,2824TEU,6 ,TSAKOS,GL        ,,,PANAMA,040106,6 ,2003-10-27,2006-07-08,2006-10-23,2006-11-29,2007-01-16,2007-03-05,,0,0,2006-07-08,2006-10-23,2007-01-16,2007-03-05,0,0,2007-03-31,Y,R7,2006-09-27,Y,Y,Y,Y,040106,06,T,2,2005-03-07,290,1.7,20,2007-03-06,,N,H1,Y,,,,,N,,,
039006,2824TEU CONTAINER,N,4,26,06-3,CONT ,2824TEU,3 ,SUISSE-ATLANTIQUE,GL        ,,,SWITZERLAND,034206,3 ,2003-09-17,2006-01-26,2006-05-04,,2006-07-13,2006-09-12,,0,0,2006-01-26,2006-05-03,2006-07-12,2006-09-12,0,0,2006-09-30,Y,R8,2006-04-19,Y,Y,Y,Y,034106,08,S,2,2005-04-21,290,1.7,20,2006-09-14,,N,H1,Y,,,,,N,,,
039106,2824TEU CONTAINER,N,2,24,06-6,CONT ,2824TEU,4 ,SUISSE-ATLANTIQUE,GL        ,,,SWITZERLAND,034206,4 ,2003-09-17,2006-03-02,2006-06-07,2006-07-18,2006-09-04,2006-11-01,,0,0,2006-03-02,2006-06-07,2006-09-04,2006-10-31,0,0,2006-11-30,Y,R8,2006-08-10,Y,Y,Y,Y,034106,10,T,2,2005-04-21,290,1.7,20,2006-11-02,,N,H1,Y,,,,,N,,,
039206,37K PRODUCT/CHEMICAL TANKER,N,3,40,06-1,CT   ,37K,8 ,OMI,DNV       ,,,MARSHALL ISLAND,025406,8 ,2004-01-02,2005-07-14,2005-10-25,,2006-01-03,2006-03-06,,0,0,2005-07-14,2005-10-24,2006-01-03,2006-02-22,0,0,2006-04-30,Y,R7,2005-06-27,Y,Y,Y,Y,025406,08,S,2,2005-05-19,290,1.75,20,2006-02-22,,N,H1,Y,,,,,N,,,
039506,3450TEU CONTAINER,N,4,23,05-5,CONT ,3450TEU,1 ,B.RICKMERS,GL        ,,,MARSHALL ISLAND,039506,1 ,2003-11-11,2005-06-17,2005-09-30,,2005-12-08,2006-02-03,,0,0,2005-06-17,2005-09-26,2005-12-07,2006-02-03,0,0,2006-04-30,Y,R8,2005-06-27,Y,Y,Y,Y,039506,01,S,3,2005-04-21,290,1.75,20,2006-02-05,,N,H1,Y,,,,,N,,,
039606,3450TEU CONTAINER,N,4,24,06-1,CONT ,3450TEU,2 ,B.RICKMERS,GL        ,,,MARSHALL ISLAND,039506,2 ,2003-11-11,2005-09-03,2005-12-10,,2006-02-23,2006-04-19,,0,0,2005-09-02,2005-12-09,2006-02-23,2006-04-13,0,0,2006-06-30,Y,R9,2005-09-26,Y,Y,Y,Y,039506,02,S,3,2005-06-27,290,1.75,20,2006-04-15,,N,H1,Y,,,,,N,,,
039706,3450TEU CONTAINER,N,4,28,06-5,CONT ,3450TEU,3 ,B.RICKMERS,GL        ,,,MARSHALL ISLAND,039506,3 ,2003-11-11,2006-06-22,2006-09-29,,2006-12-11,2007-01-29,,0,0,2006-06-22,2006-09-29,2006-12-12,2007-01-26,0,0,2007-03-31,Y,R6,2006-06-27,Y,Y,Y,Y,039506,03,S,3,2005-01-14,290,1.7,20,2007-01-29,,N,H1,Y,,,,,N,,,
039806,3450TEU CONTAINER,N,4,29,07-1,CONT ,3450TEU,4 ,B.RICKMERS,GL        ,,,MARSHALL ISLAND,039506,4 ,2003-11-11,2006-09-07,2006-12-13,,2007-02-26,2007-04-13,,0,0,2006-09-07,2006-12-13,2007-02-24,2007-04-13,0,0,2007-06-30,Y,R8,2007-01-12,Y,Y,Y,Y,039506,04,S,3,2005-01-14,290,1.7,20,2007-04-15,,N,H1,Y,,,,,N,,,
040106,2824TEU CONTAINER,N,3,32,04-8,CONT ,2824TEU,1 ,TSAKOS,GL        ,,,PANAMA,040106,1 ,2004-01-30,2004-06-25,2004-08-30,2004-10-16,2004-11-27,2005-02-07,,0,0,2004-06-25,2004-09-02,2004-11-27,2005-02-02,0,0,2005-03-31,Y,R4,2004-07-30,Y,Y,Y,Y,040106,01,T,2,,290,1.75,20,2005-02-02,,N,H1,Y,,,,,N,,,
040206,2824TEU CONTAINER,N,4,21,05-3,CONT ,2824TEU,2 ,TSAKOS,GL        ,,,PANAMA,040106,2 ,2004-01-30,2005-01-21,2005-04-28,,2005-07-07,2005-09-12,,0,0,2005-01-21,2005-04-28,2005-07-01,2005-08-31,0,0,2005-10-15,Y,R5,2005-04-03,Y,Y,Y,Y,040106,02,S,2,,290,1.75,20,2005-08-31,,N,H1,Y,,,,,N,,,
040306,46K PRODUCT CARRIER,N,3,47,07-3,CT   ,46K,3 ,VROON,LR        ,,,MARSHALL ISLAND,030906,3 ,2004-01-09,2006-12-12,2007-03-22,,2007-05-29,2007-07-20,,0,0,2006-12-12,2007-03-19,2007-05-28,2007-07-12,0,0,2007-08-31,Y,R3,2006-12-18,Y,Y,Y,Y,030906,03,S,2,2005-04-21,290,1.7,20,2007-07-12,,N,H1,Y,,,,,N,,,
040406,2824TEU CONTAINER,N,4,20,05-2,CONT ,2824TEU,2 ,E.R.SCHIFFAHRT,GL        ,,,LIBERIA,036906,2 ,2004-01-28,2004-11-11,2005-02-16,,2005-04-26,2005-06-20,,0,0,2004-11-11,2005-02-16,2005-04-26,2005-06-20,0,0,2005-06-30,Y,R5,2005-04-04,Y,Y,Y,Y,036906,02,S,2,,290,1.75,20,2005-06-20,,N,H1,Y,,,,,N,,,
040506,2824TEU CONTAINER,N,4,22,05-4,CONT ,2824TEU,5 ,E.R.SCHIFFAHRT,GL        ,,,LIBERIA,036906,5 ,2004-01-28,2005-04-06,2005-07-09,,2005-09-28,2005-11-17,,0,0,2005-04-06,2005-07-04,2005-09-23,2005-11-14,0,0,2005-12-20,Y,R7,2005-06-02,Y,Y,Y,Y,036906,05,S,2,,290,1.75,20,2005-11-14,,N,H1,Y,,,,,N,,,
040606,TSAKOS 37K PRODUCT/CHEMICAL TANKER,N,3,46,07-2,CT   ,37K,1 ,TSAKOS,DNV       ,,,CYPRUS,040606,1 ,2004-04-30,2006-09-29,2007-01-08,,2007-03-20,2007-05-09,,0,0,2006-09-29,2007-01-08,2007-03-16,2007-05-09,0,0,2007-06-30,Y,R4,2006-11-17,Y,Y,Y,Y,040606,01,S,3,2005-04-21,290,1.7,20,2007-05-09,,N,H1,Y,,,,,N,,,
040706,TSAKOS 37K PRODUCT/CHEMICAL TANKER,N,1,12,07-3,CT   ,37K,2 ,TSAKOS,DNV       ,,,CYPRUS,040606,2 ,2004-04-30,2007-01-15,2007-04-20,,2007-06-27,2007-08-21,,0,0,2007-01-15,2007-04-16,2007-06-22,2007-08-21,0,0,2007-09-30,Y,R7,2007-01-26,Y,Y,Y,Y,040606,02,S,2,2005-04-20,290,1.7,20,2007-08-21,,N,H1,Y,,,,,N,,,
040806,4300TEU CONTAINER,N,4,30,07-2,CONT ,4300TEU,12,E.R.SCHIFFAHRT,DNV       ,,,LIBERIA,040806,1 ,2004-08-30,2006-11-22,2007-02-28,,2007-05-10,2007-06-28,,0,0,2006-11-22,2007-02-26,2007-05-04,2007-06-20,0,0,2007-07-31,Y,R6,2007-01-27,Y,Y,Y,Y,040806,01,S,3,2005-04-20,290,1.7,20,2007-06-21,,N,H1,Y,,,,,N,,,
040906,2824TEU CONTAINER,N,3,46,07-2,CONT ,2824TEU,13,E.R.SCHIFFAHRT,GL        ,,,LIBERIA,036906,13,2004-01-20,2006-09-29,2007-01-08,,2007-03-20,2007-05-01,,0,0,2006-09-29,2007-01-08,2007-03-16,2007-05-01,0,0,2007-06-30,Y,R7,2006-10-26,Y,Y,Y,Y,036906,13,S,2,2005-04-21,290,1.7,20,2007-05-01,,N,H1,Y,,,,,N,,,
041006,BARCLAY 47K PC,N,3,44,06-5,CT   ,47K,2 ,BARCLAY,DNV       ,,,PANAMA,044506,2 ,2004-02-16,2006-05-03,2006-08-11,,2006-10-25,2007-01-05,,0,0,2006-05-03,2006-08-11,2006-10-25,2007-01-15,0,0,2007-01-31,Y,R8,2006-08-10,Y,Y,Y,Y,044506,02,S,2,2005-04-21,290,1.7,20,2007-01-16,,N,H1,Y,,,,,,,,
041106,BARCLAY 47K PC,N,3,45,07-1,CT   ,47K,3 ,BARCLAY,DNV       ,,,PANAMA,044506,3 ,2004-02-16,2006-07-13,2006-10-27,,2007-01-06,2007-02-28,,0,0,2006-07-13,2006-10-27,2007-01-06,2007-02-28,0,0,2007-06-30,Y,R3,2006-10-17,Y,Y,Y,Y,044506,03,S,2,2005-04-21,290,1.7,20,2007-02-28,,N,H1,Y,,,,,N,,,
041206,BARCLAY 47K PC,N,3,46,07-2,CT   ,47K,4 ,BARCLAY,DNV       ,,,PANAMA,044506,4 ,2004-03-15,2006-09-29,2007-01-08,,2007-03-20,2007-05-14,,0,0,2006-09-29,2007-01-08,2007-03-16,2007-05-08,0,0,2007-09-30,Y,R4,2006-12-04,Y,Y,Y,Y,044506,04,S,2,2005-04-21,290,1.7,20,2007-05-08,,N,H1,Y,,,,,N,,,
041306,BARCLAY 47K PC,N,3,47,07-3,CT   ,47K,4 ,BARCLAY,DNV       ,,,PANAMA,044506,5 ,2004-03-15,2006-12-12,2007-03-22,,2007-05-29,2007-07-13,,0,0,2006-12-12,2007-03-19,2007-05-28,2007-07-13,0,0,2007-09-30,Y,R3,2006-12-20,Y,Y,Y,Y,044506,05,S,2,2005-04-21,290,1.7,20,2007-07-13,,N,H1,Y,,,,,,,,
041406,4300TEU CONTAINER,N,4,31,07-3,CONT ,4300TEU,13,E.R.SCHIFFAHRT,DNV       ,,,LIBERIA,040806,2 ,2004-08-30,2007-02-02,2007-05-07,,2007-07-13,2007-09-11,,0,0,2007-02-02,2007-05-07,2007-07-13,2007-09-11,0,0,2007-09-30,Y,R9,2007-04-26,Y,Y,Y,Y,040806,02,S,3,2005-04-20,290,1.7,20,2007-09-11,,N,H1,Y,,,,,,,,
041506,4300TEU CONTAINER,N,4,32,07-4,CONT ,4300TEU,16,E.R.SCHIFFAHRT,DNV       ,,,LIBERIA,040806,3 ,2004-08-30,2007-04-17,2007-07-16,,2007-10-02,2007-11-16,,0,0,2007-04-17,2007-07-16,2007-10-02,2007-11-16,0,0,2007-11-30,Y,RB,2007-06-05,Y,Y,Y,Y,040806,03,S,3,2005-04-20,290,1.7,20,2007-11-16,,N,H1,Y,,,,,,,,
041606,37K PRODUCT/CHEMICAL TANKER,N,2,26,06-8,CT   ,37K,1 ,LATVIAN,LR        ,,,MARSHALL ISLAND,041606,1 ,2004-02-17,2006-05-27,2006-09-06,2006-10-20,2006-11-29,2007-01-18,,0,0,2006-05-26,2006-09-06,2006-11-29,2007-01-18,0,0,2007-04-30,Y,R2,2006-08-10,Y,Y,Y,Y,041606,01,T,2,2005-04-21,290,1.7,20,2007-01-19,,N,H1,Y,,,,,N,,,
