호선,호선명,GINR,DOCK,BATCH,년BATCH,선종,선형,연번,선주,선급1,선급2,선급3,국적,시리즈 대표호선,시리즈번호,계약일자,W/C일자,K/L일자,F/T일자,L/C일자,D/L일자,도면완료일,제작블럭수,탑재블럭수,W/C실적일자,K/L실적일자,L/C실적일자,D/L실적일자,선주도면승인기간,선급도면승인기간,계약인도일,대일정계획시 주요공정체크,탑재네트워크확정REVNO,탑재네트워크확정일자,일정재생성가부,공수재생성가부,중일정공수조정가부,D/L여부,설계대표호선,설계 시리즈 번호,건조 방식(T:Tandem S:straight),"FWD일정 생성시 신종선 연속선에 따라 POR발행계획일이 MP 생성일 기준 2주, 3주(2:2주 3:3주)",mp생성일(호선의 mp등록일 중 가장 빠른 날짜을 넣어줌[2005/12/20추가됨]),,,,출항 예정일,Load Out 일자 (육상건조),,"호선 건조구분(H: HMD, V: HVS, 1:신조, 2:개조, 3:수리, 4:기술수출)","계약정보(Y:계약, N:미계약,C:취소,D:보류,O:옵션)",E/R ACCESS HOLE FT전 위치,E/R ACCESS HOLE FT후 위치,조기K/L,조기 K/L BLOCK,"HVS자재대수수료(0:1.07, 1:1)",FT전 도크내호선위치(E/W)-STRAIGHT는 여기만 값 유지,FT후 도크내호선위치(E/W),가상W/C
001506,GHETTY BOTTIGLIERI,N,3,17,02-1,CT   ,35K,2 ,BOTTIGLIERI,RINA      ,,,PANAMA,001406,2 ,2000-03-23,2001-09-03,2001-12-14,,2002-03-16,2002-06-05,,0,0,2001-09-03,2001-12-14,2002-03-16,2002-06-05,0,0,2002-06-23,Y,RA,2001-12-29,Y,Y,Y,Y,001406,,S,2,,290,1.75,20,2002-06-08,,N,H1,Y,,,,,,,,
001606,GEDIZ,N,4,1,00-1,CT   ,37K,1 ,DUNYA,DNV       ,,,LIBERIA,001606,1 ,2000-03-10,2000-06-16,2000-09-20,,2000-12-23,2001-04-30,,0,0,2000-06-16,2000-09-20,2000-12-23,2001-05-04,0,0,2001-05-16,Y,,2000-10-24,Y,Y,Y,Y,001606,,S,2,,290,1.75,20,2001-05-05,,N,H1,Y,,,,,N,,,
001706,GOLOVA,N,3,13,01-1,CT   ,37K,1 ,DUNYA,DNV       ,,,LIBERIA,001606,2 ,2000-03-10,2000-08-21,2000-11-14,,2001-03-02,2001-07-16,,0,0,2000-08-21,2000-11-14,2001-03-02,2001-06-26,0,0,2001-07-16,Y,R0,2000-05-30,Y,Y,Y,Y,001606,,S,2,,290,1.75,20,2001-06-26,,N,H1,Y,,,,,N,,,
001806,SEARAMBLER,N,3,14,01-2,CT   ,37K,1 ,THENAMARIS,DNV       ,,,MALTA,001806,1 ,2000-03-17,2000-12-01,2001-03-05,,2001-06-08,2001-10-13,,0,0,2000-12-01,2001-03-05,2001-06-08,2001-10-22,0,0,2001-11-30,Y,R2,2001-04-25,Y,Y,Y,Y,001806,,S,2,,290,1.75,20,2001-10-23,,N,H1,Y,,,,,,,,
001906,SEAEMPRESS,N,3,16,01-4,CT   ,37K,2 ,THENAMARIS,DNV       ,,,MALTA,001806,2 ,2000-03-17,2001-05-25,2001-09-12,,2001-12-07,2002-03-08,,0,0,2001-05-25,2001-09-14,2001-12-12,2002-03-15,0,0,2002-02-28,Y,R7,2001-09-25,Y,Y,Y,Y,001806,,S,2,,290,1.75,20,2002-03-16,,N,H1,Y,,,,,,,,
002006,SHOGUN,N,4,6,02-2,CT   ,35K,1 ,CAGNONI,RINA      ,,,ITALY,002006,1 ,2000-04-22,2001-09-17,2002-01-10,,2002-04-20,2002-06-25,,0,0,2001-09-17,2002-01-10,2002-04-20,2002-06-25,0,0,2002-07-31,Y,RB,2002-01-24,Y,Y,Y,Y,002006,,S,2,,290,1.75,20,2002-06-27,,N,H1,Y,,,,,,,,
002306,OHIO,N,3,15,01-3,CNG  ,35K,1 ,GEDEN,DNV       ,,,LIBERIA,002306,1 ,2000-06-07,2001-02-15,2001-06-11,,2001-09-12,2001-12-17,,0,0,2001-02-15,2001-06-11,2001-09-12,2001-12-17,0,0,2001-11-30,Y,R6,2001-06-26,Y,Y,Y,Y,002306,,S,2,,290,1.75,20,2001-12-26,,N,H1,Y,,,,,,,,
002406,ORONTES,N,3,16,01-4,CT   ,37K,1 ,GEDEN,DNV       ,,,LIBERIA,002306,2 ,2000-06-07,2001-05-25,2001-09-12,,2001-12-07,2002-03-15,,0,0,2001-05-25,2001-09-14,2001-12-12,2002-03-26,0,0,2002-03-31,Y,R7,2001-09-25,Y,Y,Y,Y,002306,,S,2,,290,1.75,20,2002-03-27,,N,H1,Y,,,,,,,,
002506,BRITISH ENDEAVOUR,N,3,17,02-1,CT   ,37K,1 ,J.LALIOTIS,DNV       ,,,LIBERIA,002306,3 ,2000-06-07,2001-09-03,2001-12-14,,2002-03-16,2002-06-19,,0,0,2001-09-03,2001-12-15,2002-03-16,2002-06-21,0,0,2002-06-30,Y,R7,2001-12-29,Y,Y,Y,Y,002306,,S,2,,290,1.75,20,2002-06-21,,N,H1,Y,,,,,,,,
002606,BRITISH ENDURANCE,N,3,18,02-2,CT   ,37K,1 ,GEDEN,DNV       ,,,LIBERIA,002306,4 ,2000-06-07,2001-12-01,2002-03-18,,2002-06-12,2002-09-13,,0,0,2001-12-01,2002-03-18,2002-06-12,2002-09-13,0,0,2002-08-31,Y,R8,2002-04-16,Y,Y,Y,Y,002306,,S,2,,290,1.75,20,2002-09-14,,N,H1,Y,,,,,,,,
002706,SEONGHEE,N,3,16,01-4,FERRY,FERRY,1 ,BUKWAN FERRY CO.LTD,KR        ,,,KOREA,002706,1 ,2000-05-24,2001-04-16,2001-09-12,,2001-12-07,2002-03-30,,0,0,2001-04-16,2001-09-14,2001-12-12,2002-05-10,0,0,2002-03-31,Y,R6,2001-10-20,Y,Y,Y,Y,002706,,S,2,,290,1.75,20,2002-05-10,,N,H1,Y,,,,,,,,
002806,SEAPROMISE,N,3,17,02-1,CT   ,37K,3 ,THENAMARIS,DNV       ,,,MALTA,001806,3 ,2000-03-17,2001-09-03,2001-12-14,,2002-03-16,2002-05-17,,0,0,2001-09-03,2001-12-14,2002-03-16,2002-05-24,0,0,2002-05-30,Y,R7,2001-12-29,Y,Y,Y,Y,001806,,S,2,,290,1.75,20,2002-05-24,,N,H1,Y,,,,,,,,
002906,SEAMERIT,N,3,18,02-2,CT   ,37K,4 ,THENAMARIS,DNV       ,,,MALTA,001806,4 ,2000-03-17,2001-12-01,2002-03-18,,2002-06-12,2002-09-18,,0,0,2001-12-01,2002-03-18,2002-06-12,2002-09-18,0,0,2002-08-31,Y,R8,2002-04-16,Y,Y,Y,Y,001806,,S,2,,290,1.75,20,2002-09-18,,N,H1,Y,,,2015-11-17,,,,,
003006,ILE DE BREHAT,N,3,15,01-3,CL   ,10K,3 ,ALCATEL,BV        ,,,FRANCE,000106,3 ,2000-04-01,2001-04-05,2001-06-11,,2001-09-12,2002-07-15,,0,0,2001-02-15,2001-06-11,2001-09-12,2002-07-15,0,0,2001-12-31,Y,R5,2001-07-24,Y,Y,Y,Y,000106,,S,2,,290,1.75,20,,,N,H1,Y,,,,,,,,
003206,UGO DE CARLINI,N,2,1,02-1,CT   ,35K,3 ,BOTTIGLIERI,RINA      ,,,PANAMA,001406,3 ,2000-08-29,2001-10-19,2002-01-30,,2002-04-30,2002-08-01,,0,0,2001-10-19,2002-01-30,2002-04-30,2002-08-01,0,0,2002-09-30,Y,RA,2002-01-24,Y,Y,Y,Y,001406,,S,2,,290,1.75,20,2002-08-03,,N,H1,Y,,,,,,,,
003306,ROSARIO BOTTIGLIERI,N,3,18,02-2,CT   ,35K,4 ,BOTTIGLIERI,RINA      ,,,PANAMA,001406,4 ,2000-08-29,2001-12-01,2002-03-18,,2002-06-12,2002-10-02,,0,0,2001-12-01,2002-03-18,2002-06-12,2002-10-02,0,0,2002-09-30,Y,R6,2002-01-24,Y,Y,Y,Y,001406,,S,2,,290,1.75,20,2002-10-03,,N,H1,Y,,,,,,,,
003406,NORASIA ENGIADINA,N,4,6,02-2,CONT ,2824TEU,1 ,SUISSE-ATLANTIQUE,GL        ,,,LIBERIA,003406,1 ,2000-06-26,2001-09-07,2002-01-10,,2002-04-20,2002-07-19,,0,0,2001-09-07,2002-01-10,2002-04-20,2002-07-19,0,0,2002-06-30,Y,R9,2002-01-09,Y,Y,Y,Y,003406,,S,2,,290,1.75,20,2002-07-23,,N,H1,Y,,,,,,,,
