사업장,창고,트레이,시리얼 번호,자재 코드,품  명  및   사   양,표준 단중,적정 재고,발주처 코드,발주처명,담당자,연락처,단가
M,2,A4-11,AEW0001A04C011,34L08010015,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*15A,0.04,420,,,,,200.0
M,2,A4-12,AEW0001A04C012,3592100F038,"BOSS SS400 THREAD A-TYPE FOR WALL PF3/8""",0.08,160,,,,,1590.0
M,2,A4-13,AEW0001A04C013,3592100F012,"BOSS SS400 THREAD A-TYPE FOR WALL PF1/2""",0.14,80,,,,,1290.0
M,2,A4-14,AEW0001A04C014,3592100F014,"BOSS SS400 THREAD A-TYPE FOR WALL PF1/4""",0.07,180,,,,,860.0
M,2,A4-15,AEW0001A04C015,3592100F034,"BOSS SS400 THREAD A-TYPE FOR WALL PF3/4""",0.22,60,,,,,1880.0
M,2,A4-16,AEW0001A04C016,3592100F011,"BOSS SS400 THREAD A-TYPE FOR WALL PF1""",0.28,45,,,,,1960.0
M,2,A4-17,AEW0001A04C017,3592160T100,"BOSS SS400 THREAD A-TYPE FOR WALL 60L*PT1""",0.6,40,,,,,3010.0
M,2,A4-2,AEW0001A04C002,34L08010150,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*150A,0.24,40,,,,,1459.0
M,2,A4-3,AEW0001A04C003,34L08010100,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*100A,0.15,60,,,,,980.0
M,2,A4-4,AEW0001A04C004,34L08010080,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*80A,0.13,100,,,,,729.0
M,2,A4-5,AEW0001A04C005,34L08010065,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*65A,0.12,120,,,,,630.0
M,2,A4-6,AEW0001A04C006,34L08010050,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*50A,0.1,160,,,,,412.0
M,2,A4-7,AEW0001A04C007,34L08010040,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*40A,0.08,180,,,,,365.0
M,2,A4-8,AEW0001A04C008,34L08010032,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*32A,0.08,240,,,,,335.0
M,2,A4-9,AEW0001A04C009,34L08010025,GASKET GRAPHITE FILLER SPIRAL WOUND TYPE W/C.S OUTER RING 10KG/CM2*25A,0.07,300,,,,,285.0
M,2,B1-1,AEW0001B01C001,365204SS202,SLIDING SHOE TEFLON(20t) 200A-400A,0.19,100,,,,,2340.0
M,2,B1-2,AEW0001B01C002,365204SS102,SLIDING SHOE TEFLON(20t) 125A-150A,0.13,100,5Y653,우주가스팩공업(주),,,1380.0
M,2,B2-1,AEW0001B02C001,365204SS2A5,SLIDING SHOE TEFLON(15t) 200A-400A,0.16,100,,,,,1764.0
M,2,B2-2,AEW0001B02C002,365204SS1A5,SLIDING SHOE TEFLON(15t) 125A-150A,0.09,160,,,,,1221.0
M,2,B2-3,AEW0001B02C003,351F1ZAED10,ADJUSTABLE ELBOW 90˚ SUS316 BITE TYPE O/D10Φ,0.08,400,,,,,3240.0
M,2,B2-4,AEW0001B02C004,351F1J00D10,UNION ELBOW 90˚ SUS316 BITE TYPE O/D10Φ,0.05,400,,,,,5070.0
M,2,B3-1,AEW0001B03C001,365204SS200,SLIDING SHOE TEFLON(10T) 200A-400A,0.1,100,,,,,1410.0
M,2,B3-2,AEW0001B03C002,365204SS100,SLIDING SHOE TEFLON(10T) 100A-150A,0.06,100,,,,,847.0
M,2,B3-3,AEW0001B03C003,36521408000,LINER PLATE TEFLON 3T*80A,0.04,200,,,,,906.0
M,2,B3-4,AEW0001B03C004,36521410000,LINER PLATE TEFLON 3T*100A,0.06,200,,,,,1186.0
